SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20210104|87166N304|SSLY|167|SYNTAX ETF TR STRATIFIED SMALL|43.15
20210104|886364405|SFYF|681|TIDAL ETF TR SOFI 50 ETF|27.76
20210104|921932778|VIOV|32782|VANGUARD S&P SMALL CAP 600 VAL|140.42
20210104|921932794|VIOG|7540|VANGUARD S&P SMALL CAP 600 GRO|196.68
20210104|921932828|VIOO|62|VANGUARD S&P SMALL CAP 600 ETF|167.77
20210104|92204A108|VCR|9966|VANGUARD CONSUMER DISCRETIONAR|275.18
20210104|92206C649|VTWV|4643|VANGUARD RUSSELL 2000 VALUE ET|115.54
20210104|92206C664|VTWO|6251|VANGUARD RUSSELL 2000 ETF|158.27
20210104|922908611|VBR|1620|VANGUARD SMALL-CAP VALUE ETF|142.21
20210104|922908652|VXF|57666|VANGUARD EXTENDED MARKET ETF|164.68
20210104|922908751|VB|195|VANGUARD SMALL-CAP ETF|194.68
20210104|922908769|VTI|1807|VANGUARD TOTAL STOCK MARKET ET|194.64
20210105|025072885|AVUS|2765|AMERICAN CENTY ETF TR AVANTIS |62.20
20210105|25434V104|DFAU|220287|DIMENSIONAL ETF TR|25.91
20210105|25460G815|RETL|597|DIREXION DAILY RETAIL BULL 3X |435.97
20210105|26924G706|GAMR|200|ETF MANAGERS TR WEDBUSH ETFMG |79.06
20210105|316092204|FDIS|13648|FIDELITY COVINGTON TR MSCI CON|70.65
20210105|36467W109|GME|490723|GAMESTOP CORP (HLDG CO) CL A|17.25
20210105|381430602|GSSC|267|GOLDMAN SACHS ETF TR ACTIVEBET|53.65
20210105|46137V183|EWSC|101|INVESCO|63.94
20210105|46138E180|PSCD|451|INVESCO S&P SMALLCAP CONSUMER |80.24
20210105|46138E453|PBSM|1855|INVESCO ETF TR II PUREBETA MSC|33.05
20210105|46138J593|OMFS|4393|INVESCO EXCHANGE-TRADED SELF-I|32.51
20210105|464287655|IWM|34366|ISHARES RUSSELL 2000 ETF|193.50
20210105|464287804|IJR|65075|ISHARES CORE S&P SM CAP ETF|91.04
20210105|464287887|IJT|8006|ISHARES S&P SMALL CAP 600 GROW|113.22
20210105|464288570|DSI|15153|ISHARES MSCI KLD 400 SOCIAL ET|70.61
20210105|464288869|IWC|21548|RUSSELL MICRO CAP ETF|117.96
20210105|46436E544|XJR|145|ISHARES TRESG SCREENED S&P SMA|32.84
20210105|67092P607|NUSC|24375|NUVEEN ESG SMALL-CAP ETF|37.86
20210105|74347X294|HDG|489|PROSHARES TRUST - PROSHARES HE|49.86
20210105|74347X799|URTY|28145|PROSHARES TRUST PROSHRS ULTRAP|75.46
20210105|78464A201|SLYG|463|SPDR S&P 600 SMALL CAP GROWTH |75.75
20210105|78464A714|XRT|431|SPDR SERIES TR SPDR S&P RETAIL|63.54
20210105|78464A805|SPTM|30|SPDR PORTFOLIO S&P 1500 COMPOS|45.48
20210105|78468R853|SPSM|254|SPDR PORTFOLIO S&P 600 SMALL C|35.43
20210105|808524771|FNDX|14844|SCHWAB FUNDAMENTAL U S LARGE C|44.75
20210105|808524789|FNDB|1169|SCHWAB FUNDAMENTAL U S BROAD M|44.29
20210105|87166N304|SSLY|162|SYNTAX ETF TR STRATIFIED SMALL|43.10
20210105|886364405|SFYF|529|TIDAL ETF TR SOFI 50 ETF|27.53
20210105|921932794|VIOG|6529|VANGUARD S&P SMALL CAP 600 GRO|195.16
20210105|921932828|VIOO|1167|VANGUARD S&P SMALL CAP 600 ETF|166.14
20210105|92204A108|VCR|7721|VANGUARD CONSUMER DISCRETIONAR|271.66
20210105|92206C649|VTWV|26054|VANGUARD RUSSELL 2000 VALUE ET|113.86
20210105|92206C664|VTWO|6215|VANGUARD RUSSELL 2000 ETF|155.97
20210105|922908652|VXF|112351|VANGUARD EXTENDED MARKET ETF|162.25
20210105|922908751|VB|1509|VANGUARD SMALL-CAP ETF|191.53
20210105|922908769|VTI|4017|VANGUARD TOTAL STOCK MARKET ET|191.87
20210106|025072885|AVUS|14138|AMERICAN CENTY ETF TR AVANTIS |62.93
20210106|25434V104|DFAU|11905|DIMENSIONAL ETF TR|26.13
20210106|25460G815|RETL|441|DIREXION DAILY RETAIL BULL 3X |465.71
20210106|26924G706|GAMR|359|ETF MANAGERS TR WEDBUSH ETFMG |80.48
20210106|316092204|FDIS|15964|FIDELITY COVINGTON TR MSCI CON|71.45
20210106|36467W109|GME|772112|GAMESTOP CORP (HLDG CO) CL A|17.37
20210106|46137V183|EWSC|250|INVESCO|65.71
20210106|46138E180|PSCD|612|INVESCO S&P SMALLCAP CONSUMER |82.22
20210106|46138G664|RWJ|82227|INVESCO EXCHANGE-TRADED FD TR |82.93
20210106|46138J593|OMFS|59490|INVESCO EXCHANGE-TRADED SELF-I|33.43
20210106|46138J734|IUSS|20|INVESCO EXCH-TRADED SELF INDX |29.52
20210106|464287150|ITOT|1405|ISHARES CORE S&P TOTAL U.S. ST|85.76
20210106|464287655|IWM|1097|ISHARES RUSSELL 2000 ETF|196.49
20210106|464287689|IWV|5618|ISHARES RUSSELL 3000 ETF|222.46
20210106|464287804|IJR|398|ISHARES CORE S&P SM CAP ETF|92.98
20210106|464287887|IJT|61722|ISHARES S&P SMALL CAP 600 GROW|115.51
20210106|464288570|DSI|10819|ISHARES MSCI KLD 400 SOCIAL ET|71.03
20210106|464288869|IWC|8693|RUSSELL MICRO CAP ETF|120.02
20210106|46435U663|ESML|33793|ISHARES ESG AWARE MSCI USA SMA|34.22
20210106|46436E544|XJR|361|ISHARES TRESG SCREENED S&P SMA|33.50
20210106|46436E775|STSB|85|ISHARES TR FACTORS US SMALL BL|40.61
20210106|46641Q290|BBSC|25|JP MORGAN EXC-TRD TR BETABUILD|57.89
20210106|67092P607|NUSC|65026|NUVEEN ESG SMALL-CAP ETF|38.41
20210106|74347R842|UWM|152|PROSHARES ULTRA RUSSELL 2000|89.98
20210106|74347X294|HDG|213|PROSHARES TRUST - PROSHARES HE|50.28
20210106|74347X799|URTY|5145|PROSHARES TRUST PROSHRS ULTRAP|79.04
20210106|78464A128|VLU|168|SPDR S&P 1500 VALUE TILT ETF|121.28
20210106|78464A300|SLYV|659|SPDR S&P 600 SMALL CAP VALUE E|66.91
20210106|78464A714|XRT|38051|SPDR SERIES TR SPDR S&P RETAIL|64.96
20210106|78464A813|SLY|375|SPDR S&P 600 SMALL CAP ETF|80.42
20210106|808524102|SCHB|26858|SCHWAB STRATEGIC TR US BROAD M|90.50
20210106|808524789|FNDB|1904|SCHWAB FUNDAMENTAL U S BROAD M|44.84
20210106|89349P305|DMRS|433|TRANSAMERICA ETF TR DELTASHARE|52.18
20210106|921932794|VIOG|10469|VANGUARD S&P SMALL CAP 600 GRO|198.92
20210106|92204A108|VCR|10522|VANGUARD CONSUMER DISCRETIONAR|274.91
20210106|92206C599|VTHR|9059|VANGUARD RUSSELL 3000 ETF|173.00
20210106|92206C649|VTWV|178|VANGUARD RUSSELL 2000 VALUE ET|116.28
20210106|92206C664|VTWO|51890|VANGUARD RUSSELL 2000 ETF|158.49
20210106|922908652|VXF|158266|VANGUARD EXTENDED MARKET ETF|164.64
20210106|922908769|VTI|1260|VANGUARD TOTAL STOCK MARKET ET|193.42
20210107|025072885|AVUS|41514|AMERICAN CENTY ETF TR AVANTIS |64.07
20210107|25460G815|RETL|358|DIREXION DAILY RETAIL BULL 3X |524.27
20210107|26924G706|GAMR|1186|ETF MANAGERS TR WEDBUSH ETFMG |79.76
20210107|316092204|FDIS|16172|FIDELITY COVINGTON TR MSCI CON|72.29
20210107|36467W109|GME|799328|GAMESTOP CORP (HLDG CO) CL A|18.36
20210107|381430602|GSSC|13255|GOLDMAN SACHS ETF TR ACTIVEBET|56.75
20210107|46137V183|EWSC|6580|INVESCO|69.04
20210107|46137V613|PRF|29697|INVESCO EXCHANGE-TRADED FD TR |135.92
20210107|46138E180|PSCD|1362|INVESCO S&P SMALLCAP CONSUMER |86.42
20210107|46138E453|PBSM|609|INVESCO ETF TR II PUREBETA MSC|34.25
20210107|46138G664|RWJ|21236|INVESCO EXCHANGE-TRADED FD TR |87.54
20210107|46138J593|OMFS|59126|INVESCO EXCHANGE-TRADED SELF-I|35.23
20210107|46138J734|IUSS|11|INVESCO EXCH-TRADED SELF INDX |30.73
20210107|464287150|ITOT|3737|ISHARES CORE S&P TOTAL U.S. ST|86.54
20210107|464287630|IWN|692|ISHARES RUSSELL2000 VAL ETF|139.75
20210107|464287655|IWM|125200|ISHARES RUSSELL 2000 ETF|204.53
20210107|464287879|IJS|19|ISHARES S&P SMALLCAP 600 VALUE|86.83
20210107|464287887|IJT|8103|ISHARES S&P SMALL CAP 600 GROW|120.00
20210107|464288570|DSI|17969|ISHARES MSCI KLD 400 SOCIAL ET|71.41
20210107|464288869|IWC|4265|RUSSELL MICRO CAP ETF|124.58
20210107|46435U663|ESML|42314|ISHARES ESG AWARE MSCI USA SMA|35.48
20210107|46436E544|XJR|1092|ISHARES TRESG SCREENED S&P SMA|35.04
20210107|46436E775|STSB|99|ISHARES TR FACTORS US SMALL BL|42.23
20210107|46641Q290|BBSC|10|JP MORGAN EXC-TRD TR BETABUILD|59.98
20210107|67092P607|NUSC|84547|NUVEEN ESG SMALL-CAP ETF|39.82
20210107|74347X294|HDG|473|PROSHARES TRUST - PROSHARES HE|50.73
20210107|78464A128|VLU|6802|SPDR S&P 1500 VALUE TILT ETF|124.63
20210107|78464A201|SLYG|4127|SPDR S&P 600 SMALL CAP GROWTH |80.39
20210107|78464A300|SLYV|600000|SPDR S&P 600 SMALL CAP VALUE E|70.79
20210107|78464A714|XRT|1309|SPDR SERIES TR SPDR S&P RETAIL|67.63
20210107|78464A813|SLY|3035|SPDR S&P 600 SMALL CAP ETF|84.40
20210107|78468R853|SPSM|14566|SPDR PORTFOLIO S&P 600 SMALL C|37.94
20210107|808524607|SCHA|376|SCHWAB STRATEGIC TR US SMALL-C|92.48
20210107|808524789|FNDB|11688|SCHWAB FUNDAMENTAL U S BROAD M|45.92
20210107|886364405|SFYF|206|TIDAL ETF TR SOFI 50 ETF|27.75
20210107|89349P305|DMRS|136|TRANSAMERICA ETF TR DELTASHARE|53.43
20210107|921932778|VIOV|3874|VANGUARD S&P SMALL CAP 600 VAL|150.07
20210107|921932794|VIOG|179|VANGUARD S&P SMALL CAP 600 GRO|207.02
20210107|921932828|VIOO|240|VANGUARD S&P SMALL CAP 600 ETF|178.06
20210107|92206C599|VTHR|264|VANGUARD RUSSELL 3000 ETF|174.31
20210107|92206C649|VTWV|15848|VANGUARD RUSSELL 2000 VALUE ET|122.28
20210107|922908611|VBR|800|VANGUARD SMALL-CAP VALUE ETF|148.35
20210107|922908652|VXF|171|VANGUARD EXTENDED MARKET ETF|168.19
20210107|922908769|VTI|25067|VANGUARD TOTAL STOCK MARKET ET|195.16
20210108|025072885|AVUS|2659|AMERICAN CENTY ETF TR AVANTIS |65.09
20210108|25434V104|DFAU|2783|DIMENSIONAL ETF TR|26.88
20210108|25460G815|RETL|32|DIREXION DAILY RETAIL BULL 3X |535.11
20210108|26924G706|GAMR|479|ETF MANAGERS TR WEDBUSH ETFMG |79.90
20210108|316092204|FDIS|25940|FIDELITY COVINGTON TR MSCI CON|73.52
20210108|33939L100|TILT|108|FLEXSHARES TR|149.04
20210108|36467W109|GME|555658|GAMESTOP CORP (HLDG CO) CL A|18.08
20210108|381430602|GSSC|22255|GOLDMAN SACHS ETF TR ACTIVEBET|57.58
20210108|46137V183|EWSC|5625|INVESCO|69.55
20210108|46138E180|PSCD|4716|INVESCO S&P SMALLCAP CONSUMER |87.30
20210108|46138E453|PBSM|609|INVESCO ETF TR II PUREBETA MSC|35.21
20210108|46138G664|RWJ|59054|INVESCO EXCHANGE-TRADED FD TR |87.78
20210108|46138J593|OMFS|60145|INVESCO EXCHANGE-TRADED SELF-I|35.55
20210108|46138J734|IUSS|9|INVESCO EXCH-TRADED SELF INDX |31.07
20210108|464287150|ITOT|198|ISHARES CORE S&P TOTAL U.S. ST|87.86
20210108|464287655|IWM|39893|ISHARES RUSSELL 2000 ETF|208.17
20210108|464287879|IJS|53|ISHARES S&P SMALLCAP 600 VALUE|87.48
20210108|464287887|IJT|8006|ISHARES S&P SMALL CAP 600 GROW|122.00
20210108|464288570|DSI|55455|ISHARES MSCI KLD 400 SOCIAL ET|72.57
20210108|464288869|IWC|54|RUSSELL MICRO CAP ETF|127.49
20210108|46435U663|ESML|71364|ISHARES ESG AWARE MSCI USA SMA|36.07
20210108|46436E544|XJR|1074|ISHARES TRESG SCREENED S&P SMA|35.44
20210108|46436E775|STSB|99|ISHARES TR FACTORS US SMALL BL|42.92
20210108|46641Q290|BBSC|11|JP MORGAN EXC-TRD TR BETABUILD|61.10
20210108|74347X799|URTY|42952|PROSHARES TRUST PROSHRS ULTRAP|93.51
20210108|78464A128|VLU|10655|SPDR S&P 1500 VALUE TILT ETF|126.43
20210108|78464A201|SLYG|9494|SPDR S&P 600 SMALL CAP GROWTH |81.64
20210108|78464A714|XRT|11000|SPDR SERIES TR SPDR S&P RETAIL|68.11
20210108|78464A805|SPTM|138|SPDR PORTFOLIO S&P 1500 COMPOS|46.87
20210108|78464A813|SLY|7220|SPDR S&P 600 SMALL CAP ETF|85.34
20210108|78468R705|MMTM|100|SPDR SER TR S&P 1500 MOMENTUM |162.26
20210108|78468R853|SPSM|2902|SPDR PORTFOLIO S&P 600 SMALL C|38.37
20210108|808524102|SCHB|121|SCHWAB STRATEGIC TR US BROAD M|92.69
20210108|808524607|SCHA|67|SCHWAB STRATEGIC TR US SMALL-C|93.98
20210108|808524771|FNDX|1083|SCHWAB FUNDAMENTAL U S LARGE C|46.72
20210108|808524789|FNDB|10873|SCHWAB FUNDAMENTAL U S BROAD M|46.44
20210108|886364405|SFYF|75|TIDAL ETF TR SOFI 50 ETF|28.43
20210108|89349P305|DMRS|159|TRANSAMERICA ETF TR DELTASHARE|53.74
20210108|92204A108|VCR|86|VANGUARD CONSUMER DISCRETIONAR|283.35
20210108|92206C599|VTHR|1175|VANGUARD RUSSELL 3000 ETF|177.31
20210108|92206C649|VTWV|8018|VANGUARD RUSSELL 2000 VALUE ET|123.64
20210108|922908652|VXF|388894|VANGUARD EXTENDED MARKET ETF|171.70
20210108|922908751|VB|20|VANGUARD SMALL-CAP ETF|203.84
20210108|922908769|VTI|229492|VANGUARD TOTAL STOCK MARKET ET|198.29
20210111|025072885|AVUS|4792|AMERICAN CENTY ETF TR AVANTIS |65.18
20210111|25434V104|DFAU|23603|DIMENSIONAL ETF TR|26.98
20210111|25460G815|RETL|167|DIREXION DAILY RETAIL BULL 3X |535.79
20210111|26924G706|GAMR|8121|ETF MANAGERS TR WEDBUSH ETFMG |80.64
20210111|316092204|FDIS|77|FIDELITY COVINGTON TR MSCI CON|74.62
20210111|36467W109|GME|703110|GAMESTOP CORP (HLDG CO) CL A|17.69
20210111|381430602|GSSC|25812|GOLDMAN SACHS ETF TR ACTIVEBET|57.17
20210111|46137V183|EWSC|5558|INVESCO|68.98
20210111|46137V480|XSVM|5458|INVESCO S&P SMALLCAP VALUE WIT|37.38
20210111|46137V613|PRF|1|INVESCO EXCHANGE-TRADED FD TR |137.35
20210111|46138E180|PSCD|5785|INVESCO S&P SMALLCAP CONSUMER |86.40
20210111|46138E453|PBSM|20455|INVESCO ETF TR II PUREBETA MSC|35.58
20210111|46138G664|RWJ|37996|INVESCO EXCHANGE-TRADED FD TR |86.69
20210111|46138J593|OMFS|61211|INVESCO EXCHANGE-TRADED SELF-I|35.27
20210111|46138J734|IUSS|80|INVESCO EXCH-TRADED SELF INDX |30.93
20210111|464287150|ITOT|4777|ISHARES CORE S&P TOTAL U.S. ST|88.28
20210111|464287655|IWM|725|ISHARES RUSSELL 2000 ETF|207.72
20210111|464287879|IJS|12|ISHARES S&P SMALLCAP 600 VALUE|86.62
20210111|464287887|IJT|9989|ISHARES S&P SMALL CAP 600 GROW|121.23
20210111|464288570|DSI|83|ISHARES MSCI KLD 400 SOCIAL ET|73.07
20210111|464288869|IWC|4448|RUSSELL MICRO CAP ETF|126.46
20210111|46435U663|ESML|80556|ISHARES ESG AWARE MSCI USA SMA|35.98
20210111|46436E544|XJR|578|ISHARES TRESG SCREENED S&P SMA|35.17
20210111|46436E775|STSB|157|ISHARES TR FACTORS US SMALL BL|42.69
20210111|46641Q290|BBSC|43|JP MORGAN EXC-TRD TR BETABUILD|60.82
20210111|67092P607|NUSC|18955|NUVEEN ESG SMALL-CAP ETF|40.24
20210111|74347R818|SAA|196|PROSHARES ULTRA SMALLCAP600|121.46
20210111|74347X294|HDG|631|PROSHARES TRUST - PROSHARES HE|51.17
20210111|78464A128|VLU|15344|SPDR S&P 1500 VALUE TILT ETF|126.28
20210111|78464A201|SLYG|6016|SPDR S&P 600 SMALL CAP GROWTH |81.13
20210111|78464A714|XRT|5227|SPDR SERIES TR SPDR S&P RETAIL|68.16
20210111|78464A805|SPTM|96|SPDR PORTFOLIO S&P 1500 COMPOS|47.10
20210111|78464A813|SLY|42773|SPDR S&P 600 SMALL CAP ETF|84.67
20210111|808524771|FNDX|48|SCHWAB FUNDAMENTAL U S LARGE C|46.74
20210111|808524789|FNDB|10953|SCHWAB FUNDAMENTAL U S BROAD M|46.42
20210111|886364405|SFYF|20479|TIDAL ETF TR SOFI 50 ETF|28.70
20210111|89349P305|DMRS|120|TRANSAMERICA ETF TR DELTASHARE|53.67
20210111|921932794|VIOG|99|VANGUARD S&P SMALL CAP 600 GRO|208.98
20210111|921932828|VIOO|76|VANGUARD S&P SMALL CAP 600 ETF|178.47
20210111|92204A108|VCR|10845|VANGUARD CONSUMER DISCRETIONAR|287.60
20210111|92206C599|VTHR|740|VANGUARD RUSSELL 3000 ETF|178.20
20210111|92206C649|VTWV|15797|VANGUARD RUSSELL 2000 VALUE ET|122.18
20210111|92206C664|VTWO|1521|VANGUARD RUSSELL 2000 ETF|167.66
20210111|922908611|VBR|1196|VANGUARD SMALL-CAP VALUE ETF|148.89
20210111|922908652|VXF|20069|VANGUARD EXTENDED MARKET ETF|171.97
20210111|922908751|VB|8355|VANGUARD SMALL-CAP ETF|203.76
20210111|922908769|VTI|7129|VANGUARD TOTAL STOCK MARKET ET|199.25
20210112|025072885|AVUS|2411|AMERICAN CENTY ETF TR AVANTIS |65.02
20210112|25434V104|DFAU|99709|DIMENSIONAL ETF TR|26.82
20210112|25460G815|RETL|150|DIREXION DAILY RETAIL BULL 3X |570.15
20210112|26924G706|GAMR|197|ETF MANAGERS TR WEDBUSH ETFMG |79.93
20210112|316092204|FDIS|28415|FIDELITY COVINGTON TR MSCI CON|73.75
20210112|36467W109|GME|287730|GAMESTOP CORP (HLDG CO) CL A|19.94
20210112|381430602|GSSC|35622|GOLDMAN SACHS ETF TR ACTIVEBET|57.33
20210112|46137V183|EWSC|5182|INVESCO|69.10
20210112|46137V480|XSVM|4847|INVESCO S&P SMALLCAP VALUE WIT|37.72
20210112|46137V613|PRF|12198|INVESCO EXCHANGE-TRADED FD TR |137.54
20210112|46138E180|PSCD|7622|INVESCO S&P SMALLCAP CONSUMER |88.69
20210112|46138E453|PBSM|38402|INVESCO ETF TR II PUREBETA MSC|35.43
20210112|46138G664|RWJ|28457|INVESCO EXCHANGE-TRADED FD TR |87.46
20210112|46138J593|OMFS|140860|INVESCO EXCHANGE-TRADED SELF-I|35.41
20210112|46138J734|IUSS|322|INVESCO EXCH-TRADED SELF INDX |31.01
20210112|464287150|ITOT|17|ISHARES CORE S&P TOTAL U.S. ST|87.81
20210112|464287630|IWN|89|ISHARES RUSSELL2000 VAL ETF|139.96
20210112|464287655|IWM|84|ISHARES RUSSELL 2000 ETF|207.54
20210112|464287879|IJS|553|ISHARES S&P SMALLCAP 600 VALUE|87.06
20210112|464287887|IJT|8006|ISHARES S&P SMALL CAP 600 GROW|121.68
20210112|464288570|DSI|3313|ISHARES MSCI KLD 400 SOCIAL ET|72.43
20210112|46435U663|ESML|2568|ISHARES ESG AWARE MSCI USA SMA|36.00
20210112|46436E544|XJR|796|ISHARES TRESG SCREENED S&P SMA|35.30
20210112|46436E775|STSB|55|ISHARES TR FACTORS US SMALL BL|42.70
20210112|46641Q290|BBSC|9|JP MORGAN EXC-TRD TR BETABUILD|60.79
20210112|67092P607|NUSC|2232|NUVEEN ESG SMALL-CAP ETF|40.26
20210112|74347R842|UWM|160|PROSHARES ULTRA RUSSELL 2000|100.24
20210112|78464A128|VLU|344|SPDR S&P 1500 VALUE TILT ETF|126.52
20210112|78464A201|SLYG|66|SPDR S&P 600 SMALL CAP GROWTH |81.42
20210112|78464A813|SLY|11142|SPDR S&P 600 SMALL CAP ETF|84.97
20210112|808524102|SCHB|10223|SCHWAB STRATEGIC TR US BROAD M|92.69
20210112|808524789|FNDB|13824|SCHWAB FUNDAMENTAL U S BROAD M|46.48
20210112|886364405|SFYF|23939|TIDAL ETF TR SOFI 50 ETF|28.32
20210112|89349P305|DMRS|120|TRANSAMERICA ETF TR DELTASHARE|53.72
20210112|921932778|VIOV|1127|VANGUARD S&P SMALL CAP 600 VAL|150.21
20210112|921932828|VIOO|1|VANGUARD S&P SMALL CAP 600 ETF|179.36
20210112|92204A108|VCR|20611|VANGUARD CONSUMER DISCRETIONAR|284.31
20210112|92206C599|VTHR|5054|VANGUARD RUSSELL 3000 ETF|177.09
20210112|92206C649|VTWV|24629|VANGUARD RUSSELL 2000 VALUE ET|122.51
20210112|92206C664|VTWO|39658|VANGUARD RUSSELL 2000 ETF|167.38
20210112|922908611|VBR|392|VANGUARD SMALL-CAP VALUE ETF|149.30
20210112|922908652|VXF|8829|VANGUARD EXTENDED MARKET ETF|171.97
20210112|922908751|VB|640|VANGUARD SMALL-CAP ETF|203.76
20210113|025072885|AVUS|1364|AMERICAN CENTY ETF TR AVANTIS |65.54
20210113|25434V104|DFAU|2680|DIMENSIONAL ETF TR|26.95
20210113|25460G815|RETL|178031|DIREXION DAILY RETAIL BULL 3X |124.79
20210113|30151E673|NVQ|442|EXCHANGE LISTED FDS TR QRAFT A|28.69
20210113|316092204|FDIS|31253|FIDELITY COVINGTON TR MSCI CON|74.96
20210113|36467W109|GME|662524|GAMESTOP CORP (HLDG CO) CL A|19.95
20210113|381430602|GSSC|22153|GOLDMAN SACHS ETF TR ACTIVEBET|58.44
20210113|46137V183|EWSC|5097|INVESCO|70.75
20210113|46137V480|XSVM|4566|INVESCO S&P SMALLCAP VALUE WIT|38.67
20210113|46137V613|PRF|95|INVESCO EXCHANGE-TRADED FD TR |138.62
20210113|46138E180|PSCD|11560|INVESCO S&P SMALLCAP CONSUMER |91.30
20210113|46138E453|PBSM|47003|INVESCO ETF TR II PUREBETA MSC|35.99
20210113|46138G664|RWJ|32695|INVESCO EXCHANGE-TRADED FD TR |89.92
20210113|46138J593|OMFS|13336|INVESCO EXCHANGE-TRADED SELF-I|36.02
20210113|46138J734|IUSS|302|INVESCO EXCH-TRADED SELF INDX |31.62
20210113|464287150|ITOT|1528|ISHARES CORE S&P TOTAL U.S. ST|88.07
20210113|464287655|IWM|11699|ISHARES RUSSELL 2000 ETF|211.26
20210113|464287804|IJR|4|ISHARES CORE S&P SM CAP ETF|99.86
20210113|464287887|IJT|8006|ISHARES S&P SMALL CAP 600 GROW|123.24
20210113|464288869|IWC|604|RUSSELL MICRO CAP ETF|129.78
20210113|46436E544|XJR|846|ISHARES TRESG SCREENED S&P SMA|35.88
20210113|46436E775|STSB|100|ISHARES TR FACTORS US SMALL BL|43.48
20210113|46641Q290|BBSC|20|JP MORGAN EXC-TRD TR BETABUILD|61.73
20210113|67092P607|NUSC|14772|NUVEEN ESG SMALL-CAP ETF|40.91
20210113|74347R842|UWM|1330|PROSHARES ULTRA RUSSELL 2000|103.85
20210113|74347X799|URTY|245|PROSHARES TRUST PROSHRS ULTRAP|97.56
20210113|78464A128|VLU|336|SPDR S&P 1500 VALUE TILT ETF|127.96
20210113|78464A201|SLYG|1728|SPDR S&P 600 SMALL CAP GROWTH |82.45
20210113|78464A300|SLYV|79|SPDR S&P 600 SMALL CAP VALUE E|72.34
20210113|78464A714|XRT|877|SPDR SERIES TR SPDR S&P RETAIL|71.81
20210113|78464A813|SLY|8094|SPDR S&P 600 SMALL CAP ETF|86.47
20210113|78468R853|SPSM|619|SPDR PORTFOLIO S&P 600 SMALL C|38.85
20210113|808524102|SCHB|10281|SCHWAB STRATEGIC TR US BROAD M|92.91
20210113|808524771|FNDX|67|SCHWAB FUNDAMENTAL U S LARGE C|47.16
20210113|808524789|FNDB|2753|SCHWAB FUNDAMENTAL U S BROAD M|46.93
20210113|886364405|SFYF|26197|TIDAL ETF TR SOFI 50 ETF|28.62
20210113|92204A108|VCR|51164|VANGUARD CONSUMER DISCRETIONAR|289.08
20210113|92206C599|VTHR|9565|VANGUARD RUSSELL 3000 ETF|177.77
20210113|92206C649|VTWV|18772|VANGUARD RUSSELL 2000 VALUE ET|125.00
20210113|92206C664|VTWO|17329|VANGUARD RUSSELL 2000 ETF|170.53
20210113|922908611|VBR|706|VANGUARD SMALL-CAP VALUE ETF|151.71
20210113|922908652|VXF|99541|VANGUARD EXTENDED MARKET ETF|174.42
20210113|922908769|VTI|3107|VANGUARD TOTAL STOCK MARKET ET|198.76
20210114|025072885|AVUS|2255|AMERICAN CENTY ETF TR AVANTIS |65.36
